"Checklist","Priority","Area","Page or Section","Current State","Current Source","What You Need To Provide","Preferred Source","Key Fields or Deliverables","Affected Files","Notes"
"[ ]","High","Company Profile","Global site identity","Mock","placeholder.ts COMPANY plus layout metadata","Final corporate profile used across the public site","website_content or company config table","company_name; public_tagline; short_description; main_email; main_phone; head_office_address; office_hours; social_links","apps/www/src/data/placeholder.ts; apps/www/src/app/layout.tsx; apps/www/src/components/layout/Footer.tsx; apps/www/src/app/contact/page.tsx","Used in header footer contact privacy terms and metadata."
"[ ]","High","Brand and SEO","Global metadata and assets","Mixed","Hardcoded layout metadata plus placeholder company data","Final brand and SEO assets","website_content plus static assets","canonical_domain; public_site_url; logo_url; favicon; og_image; keywords; organization_schema_fields","apps/www/src/app/layout.tsx; apps/www/src/app/sitemap.ts","Needed to replace generic hardcoded brand metadata."
"[ ]","Medium","Navigation","Header footer mobile menu","Mock","placeholder.ts NAV_LINKS","Final navigation structure if different from current site","static config or website_content","menu_labels; hrefs; business_menu_behavior; whether any links should be hidden","apps/www/src/data/placeholder.ts; apps/www/src/components/layout/Header.tsx; apps/www/src/components/layout/Footer.tsx; apps/www/src/components/layout/MobileMenu.tsx","Only needed if you want to change the current IA."
"[ ]","High","Homepage","Hero copy","Mock","Hardcoded hero copy plus placeholder whats_new references","Final homepage hero messaging","website_content","headline; subheadline; primary_cta_label; primary_cta_url; secondary_cta_label; secondary_cta_url","apps/www/src/components/home/HeroSection.tsx","The database already has sample website_content hero rows."
"[ ]","High","Homepage","What is new ticker and announcement banner","Mock","placeholder.ts WHATS_NEW","Real public announcements for the ticker","website_content or public announcements endpoint","headline; category; target_url; publish_date; business_unit_slug_or_category; accent_color","apps/www/src/data/placeholder.ts; apps/www/src/components/home/HeroSection.tsx; apps/www/src/components/layout/AnnouncementBanner.tsx","This content appears in two places."
"[ ]","Medium","Homepage","Social proof counters","Mixed","Live employee and department counts plus hardcoded fallback for other stats","Final marketing numbers not coming from the HR database","website_content","business_unit_count; years_of_excellence; awards_count; any approved fallback copy","apps/www/src/components/home/SocialProofStrip.tsx","Employees and departments already come from live tables."
"[ ]","High","Business Units","Master business unit records","Mixed","business_units table exists but frontend still mostly uses placeholder BUSINESS_UNITS","Final business unit content for every active business","business_units table","slug; name; tagline; description; overview; contact_email; contact_phone; address; display_order; is_active","apps/www/src/data/placeholder.ts; apps/www/src/app/api/businesses/route.ts; apps/www/src/components/businesses/BusinessPortfolio.tsx; apps/www/src/components/home/BusinessCards.tsx","This is the biggest replacement area."
"[ ]","High","Business Units","Business unit visual assets","Mock","Placeholder image urls and styling hints","Final visual assets and branding per business unit","business_units table plus metadata or extended schema","hero_image_url; logo_url; website_url; brand_color; icon_name; card_background_style","apps/www/src/data/placeholder.ts; apps/www/src/components/businesses/BusinessPortfolio.tsx; apps/www/src/app/businesses/[slug]/page.tsx","website_url brand_color and icon_name are not first class columns today."
"[ ]","High","Business Units","Services and offer catalog","Mock","Placeholder services arrays inside BUSINESS_UNITS","Real services or offerings per business unit","business_units.services JSON or dedicated table","service_title; service_description; service_image; display_order","apps/www/src/data/placeholder.ts; apps/www/src/app/businesses/[slug]/page.tsx; apps/www/src/app/businesses/[slug]/projects/[projectSlug]/page.tsx","Project pages are currently generated from the first three service entries."
"[ ]","Medium","Business Units","Testimonials","Mock","Placeholder business unit testimonials","Real client or member testimonials approved for public use","business_units.testimonials JSON or dedicated table","name; role; company; quote; optional_headshot","apps/www/src/data/placeholder.ts; apps/www/src/components/home/Testimonials.tsx; apps/www/src/components/businesses/TestimonialCarousel.tsx","Used on homepage and business detail pages."
"[ ]","High","Careers","Job postings","Mixed","Live job_postings table plus placeholder fallback jobs","Final public job listings","job_postings table","title; business_unit_id; department; location; employment_type; description; responsibilities; qualifications; benefits; salary_range; published_at; closes_at; is_active","apps/www/src/app/api/jobs/route.ts; apps/www/src/components/careers/JobListings.tsx; apps/www/src/components/careers/ApplicationForm.tsx; apps/www/src/app/careers/[id]/page.tsx","If job_postings is already correct you may only need to confirm which records are final."
"[ ]","Medium","Careers","Why join us carousel","Mock","Local WHY_ITEMS array","Final employer value proposition content","website_content","card_title; short_description; stat_line; image; image_alt; display_order","apps/www/src/components/careers/WhyCarousel.tsx","Pure marketing content; not tied to HR data."
"[ ]","High","Team","Executive leadership roster","Mock","Hardcoded EXECUTIVES array","Final public executive profiles","employee_directory plus a public leadership content source","name; title; short_bio; email_if_public; portrait; display_order","apps/www/src/app/team/page.tsx","Current data is fully hardcoded."
"[ ]","High","Team","Management and directors grid","Mock","Hardcoded TEAM_MEMBERS array","Final featured management roster","employee_directory plus featured metadata","name; title; department; portrait; display_order; featured_flag","apps/www/src/app/team/page.tsx","Could come from existing employee data if you mark featured profiles."
"[ ]","Medium","Team","Team marketing stats","Mixed","One live open roles count plus hardcoded team stats","Approved public team stats","website_content or live derived data","team_member_count_override_if_needed; business_unit_count; years_of_experience_label","apps/www/src/app/team/page.tsx","Open positions are already live."
"[ ]","High","Life at SN","Core values","Mock","placeholder.ts CULTURE_VALUES","Final public values list","website_content","value_title; value_description; display_order","apps/www/src/data/placeholder.ts; apps/www/src/app/life-at-sn/page.tsx","Needed for the values cards."
"[ ]","High","Life at SN","Photo gallery and stories","Mock","placeholder.ts LIFE_PHOTOS","Real gallery assets and story copy","gallery table or CMS style content source","image_file_or_url; alt_text; caption; category; slug; long_description; display_order","apps/www/src/data/placeholder.ts; apps/www/src/app/life-at-sn/page.tsx; apps/www/src/app/life-at-sn/[slug]/page.tsx","This drives both the grid and individual story pages."
"[ ]","High","Life at SN","Employee spotlights","Mock","placeholder.ts EMPLOYEE_SPOTLIGHTS","Approved employee quotes for public site","employee_directory plus spotlight metadata","name; role; department; tenure_label; quote; portrait_if_desired; display_order","apps/www/src/data/placeholder.ts; apps/www/src/app/life-at-sn/page.tsx","Can be sourced from real employees if consented."
"[ ]","High","About","Mission and vision","Mock","placeholder.ts MISSION and VISION","Final mission and vision statements","website_content","mission_text; vision_text","apps/www/src/components/about/MissionVision.tsx","Simple text replacement."
"[ ]","High","About","CEO message","Mock","placeholder.ts CEO_MESSAGE","Final CEO letter and profile details","website_content or leadership content source","ceo_name; ceo_title; ceo_initials; ceo_message; ceo_portrait_if_used","apps/www/src/components/about/CEOMessage.tsx","Current component can keep initials if no portrait is provided."
"[ ]","Medium","About","Company timeline","Mock","Local TIMELINE_DATA and COUNTER_STATS arrays","Final timeline milestones and approved stats","website_content or dedicated timeline table","year; milestone_title; milestone_description; optional_stat_blocks; display_order","apps/www/src/components/about/CompanyTimeline.tsx","This is fully hardcoded today."
"[ ]","High","Contact","Head office location and map","Mock","placeholder COMPANY address and GOOGLE_MAPS_EMBED_URL","Final HQ address and map data","website_content","street_address; locality; region; country; map_embed_url_or_coordinates; office_photo","apps/www/src/data/placeholder.ts; apps/www/src/app/contact/page.tsx; apps/www/src/components/contact/GoogleMap.tsx","Office photo is still a placeholder card."
"[ ]","High","Contact","Business unit contact cards","Mock","Placeholder business unit contact info","Final contact details per business unit","business_units table","contact_email; contact_phone; optional_address","apps/www/src/components/contact/ContactCards.tsx; apps/www/src/data/placeholder.ts","This should align with the business_units records."
"[ ]","High","Portal","Portal feature cards","Mock","Local FEATURES array","Final portal feature marketing copy","website_content","feature_title; feature_description; display_order","apps/www/src/app/portal/page.tsx","Not tied to app logic; this is public marketing copy."
"[ ]","Medium","Portal","Portal testimonial and support details","Mock","Hardcoded employee quote and support wording","Final portal testimonial and support contact details","website_content","quote_text; quote_name; quote_role; support_email; support_phone; support_cta_text","apps/www/src/app/portal/page.tsx","Support data should match the actual help process."
"[ ]","Medium","Portal","Portal FAQ","Mock","Local FAQ_ITEMS array","Final FAQ content","website_content","question; answer; display_order","apps/www/src/components/portal/PortalFAQ.tsx","Good candidate for CMS-style content."
"[ ]","High","Legal","Privacy policy","Mock","Static page with placeholder company references","Final approved privacy policy","legal content source or static copy","policy_text; effective_date; contact_email; compliance_language","apps/www/src/app/privacy/page.tsx","Needs legal review before publish."
"[ ]","High","Legal","Terms of service","Mock","Static page with placeholder company references","Final approved terms of service","legal content source or static copy","terms_text; effective_date; governing_law; contact_email","apps/www/src/app/terms/page.tsx","Needs legal review before publish."
"[ ]","Medium","SEO","Sitemap and canonical coverage","Mixed","Business pages derived from placeholder business slugs","Final canonical URL decisions","config plus live business content","production_base_url; which pages should be indexed; any pages to exclude","apps/www/src/app/sitemap.ts","Business URLs should come from live business units after wiring."
"[ ]","High","Integration Fix","Inquiry form business unit mapping","Broken integration","Form sends slug while API expects UUID","Confirmation of the real business_units records to map against","business_units table","final business_units rows with UUIDs available in environment or API","apps/www/src/components/contact/ContactForm.tsx; apps/www/src/app/api/inquiries/route.ts","Must be fixed so BU-specific inquiries save correctly."
"[ ]","High","Integration Fix","Business page floating inquiry form","Missing real mapping","Business pages pass businessName only and not businessUnitId","Confirmation that each business page should prefill a real business unit","business_units table","uuid per business unit; desired prefill behavior","apps/www/src/app/businesses/[slug]/page.tsx; apps/www/src/app/businesses/[slug]/projects/[projectSlug]/page.tsx; apps/www/src/components/businesses/InquiryForm.tsx","Needed for proper inquiry routing from business pages."
"[ ]","High","Integration Fix","Placeholder job fallback removal","Risky mixed behavior","Application form and job detail page can still surface fake jobs","Confirmation that live job_postings data is complete enough to remove fallback","job_postings table","approved live job records; fallback policy if jobs API fails","apps/www/src/components/careers/ApplicationForm.tsx; apps/www/src/app/careers/[id]/page.tsx; apps/www/src/data/placeholder.ts","Current placeholder jobs use fake numeric IDs that do not match UUID foreign keys."
"[ ]","High","Integration Fix","Connect frontend to live business content","Incomplete wiring","/api/businesses exists but most pages still read placeholder.ts","Approval to switch public pages to DB backed content","business_units plus website_content","frontend mapping plan; any schema changes needed for color icon website_url stats","apps/www/src/app/api/businesses/route.ts; apps/www/src/components/businesses/BusinessPortfolio.tsx; apps/www/src/components/home/BusinessCards.tsx; apps/www/src/app/businesses/[slug]/page.tsx","The backend groundwork already exists; the frontend still needs migration."
"[ ]","Medium","Integration Fix","Connect frontend to website_content CMS rows","Unused backend capability","website_content table is seeded but not consumed by apps/www","Approval on which sections should move to website_content first","website_content table","section; key; value; metadata design for hero announcements values FAQ and legal copy","supabase/migrations/20260306000001_create_corporate_website_tables.sql; supabase/seed/02_corporate_website.sql","Useful if you want non-developers to update public content later."
