"Checklist","Phase","Priority","Deliverable","Why It Matters","What You Need To Give Me","Preferred Source","Blocks or Unlocks","Affected Areas","Notes"
"[ ]","Must Have First","Critical","Company profile pack","Replaces the global placeholder brand and contact identity across the whole public site.","Final company name; public tagline; short description; main email; main phone; head office address; office hours; social links; canonical public domain; logo; og image","website_content or config table plus static assets","Unlocks footer; contact page; privacy; terms; layout metadata; structured data","Global site identity; footer; contact; metadata; SEO","Best first handoff because it touches almost every page."
"[ ]","Must Have First","Critical","Business unit master records","The businesses section is the biggest remaining placeholder area and the site cannot be considered real without it.","For each business unit: slug; name; tagline; description; overview; contact email; contact phone; address; display order; active status","business_units table","Unlocks businesses landing page; business detail pages; contact cards; homepage business sections","Businesses; homepage; contact; navigation","The backend table already exists; frontend still needs to consume it."
"[ ]","Must Have First","Critical","Business unit visual and service content","Business pages and homepage cards still rely on placeholder images service lists and styling hints.","For each business unit: hero image; logo; website URL; brand color; icon choice; services with title description image and display order","business_units table plus metadata or schema extension","Unlocks real business pages and project pages","Business detail pages; business cards; business portfolio","website_url brand_color and icon are not fully modeled yet."
"[ ]","Must Have First","Critical","Final public job postings","The careers section is partially live but still falls back to fake jobs when data is missing or the API fails.","Approved live jobs with title; business unit; department; location; employment type; description; responsibilities; qualifications; benefits; salary range; publish date; close date; active status","job_postings table","Unlocks removal of placeholder jobs and real careers page content","Careers listing; job detail; application form; team open roles","If these already exist in Supabase you can simply confirm which rows are final."
"[ ]","Must Have First","Critical","Business unit ID mapping for inquiries","The contact flow is currently broken because the form sends a slug while the API expects a UUID.","The real business_units rows or at least each business unit UUID matched to its slug","business_units table","Unlocks correct save behavior for contact form and floating inquiry forms","Contact form; business inquiry form; inquiries API","This is the highest-priority integration fix."
"[ ]","Must Have First","High","Head office map and location pack","The contact page still uses placeholder map and office presentation.","Final HQ address; map embed URL or coordinates; office photo; public location label","website_content","Unlocks a real contact page","Contact page; map component","Can be handed over together with the company profile pack."
"[ ]","Must Have First","High","Legal copy pack","A public site should not ship with placeholder legal content.","Approved privacy policy; approved terms of service; effective dates; legal contact email","static legal content or website_content","Unlocks public launch readiness","Privacy page; terms page","Needs legal review before final publish."
"[ ]","Should Have Next","High","Homepage hero and announcements pack","Homepage messaging and ticker content are still placeholder-driven.","Final hero headline; subheadline; CTA labels and URLs; public announcements with headline category link publish date accent mapping","website_content or announcements source","Unlocks a fully real homepage","Homepage hero; announcement banner; ticker","The database already has seeded website_content sample rows."
"[ ]","Should Have Next","High","Executive leadership roster","The team page still uses a fully hardcoded leadership set.","For each executive: name; title; short bio; portrait; public email if allowed; display order","employee_directory plus leadership metadata or website_content","Unlocks real leadership section","Team page","Could come from real employee data if you want to reuse HR records."
"[ ]","Should Have Next","High","Featured management roster","The second half of the team page is also still hardcoded.","For each featured leader: name; title; department; portrait; display order; featured flag","employee_directory plus featured metadata","Unlocks real management grid","Team page","Can be simplified if you only want executives public initially."
"[ ]","Should Have Next","High","Culture pack","The values section and employee spotlights are still mock content.","Values list; employee spotlight quotes; spotlight attribution; optional portraits; tenure labels","website_content plus spotlight metadata","Unlocks real life-at-SN page narrative","Life at SN values; employee spotlight","This is usually one of the first marketing sections stakeholders want updated."
"[ ]","Should Have Next","High","Gallery and story assets","The life-at-SN gallery is entirely placeholder photos and descriptions.","Real gallery images with alt text; caption; category; slug; long description; display order","gallery table or CMS-style source","Unlocks real culture storytelling pages","Life at SN grid and detail pages","This is separate from values so it can be provided later if needed."
"[ ]","Should Have Next","Medium","Business testimonials pack","Testimonials still come from placeholder arrays and are reused across multiple surfaces.","Approved testimonials with name; role; company; quote; optional headshot; related business unit","business_units.testimonials or dedicated table","Unlocks more credible homepage and business detail pages","Homepage testimonials; business testimonial carousel","Needs consent and final wording approval."
"[ ]","Should Have Next","Medium","About page narrative pack","Mission vision CEO letter and company timeline are all still mock narrative content.","Mission; vision; CEO message; CEO title and portrait if desired; timeline milestones and stats","website_content or dedicated content source","Unlocks a fully real about page","About page sections","If speed matters you can launch with mission vision first and timeline later."
"[ ]","Should Have Next","Medium","Sitemap and SEO confirmation","Sitemap and metadata should reflect final domain and final live business slugs.","Production base URL; final indexable pages; any pages to exclude","config plus live business content","Unlocks final SEO pass","Layout metadata; sitemap","Best done after business-unit content is final."
"[ ]","Nice To Have Later","Medium","Portal marketing pack","The portal landing page is still static marketing copy unrelated to core public-site launch.","Feature cards; support wording; testimonial; CTA language","website_content","Improves portal landing experience but does not block business content migration","Portal page","Can wait until after the public corporate pages are real."
"[ ]","Nice To Have Later","Low","Portal FAQ","Portal FAQ is local mock content.","Final FAQ questions and answers; support contact details","website_content","Improves support clarity","Portal FAQ","Low risk to defer."
"[ ]","Nice To Have Later","Low","Careers value proposition carousel","The why-join-us section is purely marketing and not required to make careers data real.","Card title; short description; stat line; image; image alt; display order","website_content","Improves employer-brand section","Careers why carousel","Low priority compared with real jobs."
"[ ]","Nice To Have Later","Low","Navigation refinements","The current navigation can remain unless the site map itself is changing.","Any changes to labels links ordering or visibility","static config or website_content","Polishes IA but does not block replacing mock content","Header; footer; mobile menu","Only needed if you want to change the current nav."
"[ ]","Nice To Have Later","Low","Non-live marketing stats overrides","Some counters are still hardcoded fallbacks for awards years and business counts.","Approved marketing counts for awards years and any non-database stats","website_content","Polishes homepage and team stats","Homepage counters; team stats; about timeline stats","Employees and departments are already live."
